make,model,generation,length_mm,width_mm,height_mm,wheelbase_mm,source_page,source,fetched
mercedes-benz,e-class,w213,4923,1852,1468,2939,Mercedes-Benz E-Class (W213),en.wikipedia,2026-07-24
alfa-romeo,stelvio,,4687,1903,1648,2818,Alfa Romeo Stelvio,en.wikipedia,2026-07-24
subaru,impreza,,4340,1690,1405,2520,Subaru Impreza,en.wikipedia,2026-07-24
bentley,continental,,4808,1918,1390,2746,Bentley Continental GT,en.wikipedia,2026-07-24
lamborghini,urus,,5113,2017,1638,3002,Lamborghini Urus,en.wikipedia,2026-07-24
bmw,M3 E30,e30,4345,1680,1370,2562,BMW M3,en.wikipedia,2026-07-24
bmw,m5,f90,,1699,1415,2625,BMW M5,en.wikipedia,2026-07-24
porsche,911,,,,,,Porsche 911 GT3,en.wikipedia,2026-07-24
fiat,500 Classic,,2970,1320,1320,1840,Fiat 500,en.wikipedia,2026-07-24
audi,q8,,,1995,1705,2995,Audi Q8,en.wikipedia,2026-07-24
skoda,octavia,,4511,1731,1429,2512,Škoda Octavia,en.wikipedia,2026-07-24
ford,transit,,,,,2690,Ford Transit,en.wikipedia,2026-07-24
mercedes-benz,s-class,,5027,1899,1411,2945,Mercedes-Benz S-Class (C217),en.wikipedia,2026-07-24
porsche,carrera-gt,,4613,1921,1166,2730,Porsche Carrera GT,en.wikipedia,2026-07-24
porsche,718-cayman,,,,,,Porsche 718 Boxster and Cayman (982),en.wikipedia,2026-07-24
nissan,gt-r,,,,,2780,Nissan GT-R,en.wikipedia,2026-07-24
porsche,918-spyder,,4643,1940,1167,2730,Porsche 918 Spyder,en.wikipedia,2026-07-24
mercedes-benz,sprinter,,5425,,,,Mercedes-Benz Sprinter,en.wikipedia,2026-07-24
lexus,lc,,,1920,,2870,Lexus LC,en.wikipedia,2026-07-24
mini,Countryman JCW,,4097,1789,1561,2595,Mini Countryman,en.wikipedia,2026-07-24
audi,rsq3,,,,,,Audi S and RS models,en.wikipedia,2026-07-24
honda,civic,,,,,,Honda Civic,en.wikipedia,2026-07-24
ferrari,308,,,,,,List of Ferrari road cars,en.wikipedia,2026-07-24
mercedes-benz,c-class,,,,,,Mercedes-Benz C-Class,en.wikipedia,2026-07-24
lexus,rx,,4580,1815,1670,2615,Lexus RX,en.wikipedia,2026-07-24
land-rover,range-rover-evoque,,4371,1900,1605,2660,Range Rover Evoque,en.wikipedia,2026-07-24
mercedes-benz,a-class,,,1719,1587,,Mercedes-Benz A-Class,en.wikipedia,2026-07-24
audi,A1 Quattro,,4404,1722,1346,2524,Audi Quattro,en.wikipedia,2026-07-24
audi,a8,,5138,1880,1438,2882,Audi A8,en.wikipedia,2026-07-24
alfa-romeo,brera,,4410,1830,1341,2528,Alfa Romeo Brera and Spider,en.wikipedia,2026-07-24
mercedes-benz,C-Class W202,,4505,1720,1425,2670,Mercedes-Benz C-Class (W202),en.wikipedia,2026-07-24
volkswagen,Polo GTI,,,,,,Volkswagen Golf,en.wikipedia,2026-07-24
skoda,Octavia Estate,,4511,1731,1429,2512,Škoda Octavia,en.wikipedia,2026-07-24
renault,megane,,,,,2580,Renault Mégane,en.wikipedia,2026-07-24
honda,hr-v,,,1695,1590,,Honda HR-V,en.wikipedia,2026-07-24
vauxhall,mokka,,4280,1775,1646,2555,Opel Mokka,en.wikipedia,2026-07-24
seat,ibiza,,3683,1610,1395,2443,SEAT Ibiza,en.wikipedia,2026-07-24
tesla,model-3,,,,,,Tesla Model 3,en.wikipedia,2026-07-24
citroen,c4,,4274,1769,1458,2608,Citroën C4,en.wikipedia,2026-07-24
audi,q5,,4639,1880,1650,2807,Audi Q5,en.wikipedia,2026-07-24
hyundai,Kona (2019),,,1800,,2600,Hyundai Kona,en.wikipedia,2026-07-24
bmw,m4,,4671,1870,1383,2812,BMW M4,en.wikipedia,2026-07-24
bmw,3 Series Touring,,,,,,BMW 3 Series,en.wikipedia,2026-07-24
bmw,5-series,,,,,,BMW 5 Series,en.wikipedia,2026-07-24
bmw,Z4 Coupe (2008),,,,,,BMW Z,en.wikipedia,2026-07-24
peugeot,307,,4210,1730,1510,2608,Peugeot 307,en.wikipedia,2026-07-24
nissan,micra,,3785,1560,1395,2300,Nissan Micra,en.wikipedia,2026-07-24
alfa-romeo,8c,,4381,1894,1341,2646,Alfa Romeo 8C Competizione,en.wikipedia,2026-07-24
aston-martin,vantage,,,,,,Aston Martin Vantage,en.wikipedia,2026-07-24
audi,a6,C8,4797,1783,1430,2687,Audi A6,en.wikipedia,2026-07-24
volkswagen,caddy,,4380,1640,1490,2625,Volkswagen Caddy,en.wikipedia,2026-07-24
fiat,500e,,3632,1683,1527,2322,Fiat 500e,en.wikipedia,2026-07-24
vauxhall,insignia,,4830,1856,1498,2737,Opel Insignia,en.wikipedia,2026-07-24
ford,ranger,,,,,,Ford Ranger (T6),en.wikipedia,2026-07-24
peugeot,308,,4276,1815,1498,2608,Peugeot 308,en.wikipedia,2026-07-24
nissan,navara,,,,,,Nissan Navara,en.wikipedia,2026-07-24
bmw,m3,F80,4345,1680,1370,2562,BMW M3,en.wikipedia,2026-07-24
audi,e-tron gt,,4990,1960,1410,2900,Audi e-tron GT,en.wikipedia,2026-07-24
mercedes-benz,sl,,4520,1790,1300,2400,Mercedes-Benz SL-Class,en.wikipedia,2026-07-24
bmw,M3 E46,E46,,,,2725,BMW 3 Series (E46),en.wikipedia,2026-07-24
ford,focus,,,,,,Ford Focus,en.wikipedia,2026-07-24
mercedes-benz,amg gt,,,,,,Mercedes-AMG GT,en.wikipedia,2026-07-24
honda,accord,,,1620,,2380,Honda Accord,en.wikipedia,2026-07-24
volkswagen,tiguan,,,1809,,,Volkswagen Tiguan,en.wikipedia,2026-07-24
hyundai,kona,,,1800,,2600,Hyundai Kona,en.wikipedia,2026-07-24
fiat,500,,2970,1320,1320,1840,Fiat 500,en.wikipedia,2026-07-24
kia,sportage,,4030,1855,1635,2360,Kia Sportage,en.wikipedia,2026-07-24
seat,leon,,4183,1742,1439,2513,SEAT León,en.wikipedia,2026-07-24
hyundai,i20,,,1710,1490,2525,Hyundai i20,en.wikipedia,2026-07-24
suzuki,jimny,,,,1660,,Suzuki Jimny,en.wikipedia,2026-07-24
vauxhall,astra,G,,,,,Vauxhall Astra,en.wikipedia,2026-07-24
kia,stinger,,4830,1870,1400,2905,Kia Stinger,en.wikipedia,2026-07-24
mercedes-benz,cls,,,,,,Mercedes-Benz CLS,en.wikipedia,2026-07-24
suzuki,alto,,3195,1395,1335,2150,Suzuki Alto,en.wikipedia,2026-07-24
peugeot,508,,4792,1853,1456,2817,Peugeot 508,en.wikipedia,2026-07-24
suzuki,vitara,,,1695,,2200,Suzuki Vitara,en.wikipedia,2026-07-24
bmw,3-series,G20,4709,1827,1442,2851,BMW 3 Series (G20),en.wikipedia,2026-07-24
seat,tarraco,,4735,1839,,2790,SEAT Tarraco,en.wikipedia,2026-07-24
audi,q3,,4385,1831,1608,2603,Audi Q3,en.wikipedia,2026-07-24
volvo,xc60,,4644,1891,1715,2774,Volvo XC60,en.wikipedia,2026-07-24
kia,ev6,,,,1550,2900,Kia EV6,en.wikipedia,2026-07-24
dacia,logan,,4288,1740,1534,2630,Dacia Logan,en.wikipedia,2026-07-24
alfa-romeo,milano,,4331,1631,1349,2510,Alfa Romeo 75,en.wikipedia,2026-07-24
audi,a5,,4626,1854,1372,2751,Audi A5,en.wikipedia,2026-07-24
audi,sq8,,,1995,1705,2995,Audi Q8,en.wikipedia,2026-07-24
audi,r8,,,,,,Audi R8,en.wikipedia,2026-07-24
bmw,5 Series E60,E60,4843,1850,,2890,BMW 5 Series (E60),en.wikipedia,2026-07-24
honda,zr-v,,,,,,Honda ZR-V,en.wikipedia,2026-07-24
bmw,8-series,,,,,,BMW 8 Series,en.wikipedia,2026-07-24
cupra,born,,4322,1809,1537,2765,Cupra Born,en.wikipedia,2026-07-24
kia,picanto,,3535,1595,1480,2370,Kia Picanto,en.wikipedia,2026-07-24
mazda,3,,3915,1730,1235,2310,Mazda MX-5 (ND),en.wikipedia,2026-07-24
mazda,6,,,1781,,,Mazda6,en.wikipedia,2026-07-24
ford,s-max,,4770,1885,1660,2850,Ford S-Max,en.wikipedia,2026-07-24
audi,s5,,,1854,,,Audi S5,en.wikipedia,2026-07-24
bmw,x1,,,,,,BMW X1,en.wikipedia,2026-07-24
bmw,i3,,,,,,BMW i3,en.wikipedia,2026-07-24
